Cell-Description,Test-ID,Test-Series,S-FTRC-Generation,Test-Date,Cell-Format,Cell-Capacity-Ah,Cell-Nominal-Voltage-V,Cell-Energy-Wh,Trigger-Mechanism,Avg-Cell-Temp-At-Trigger-degC
KULR 18650-K330,DLS19_Dec_Run036,DLS19_Dec,V10.0,2019-12-13,18650,3.3,3.6,11.879999999999999,Heater (ISC),130.16562
KULR 18650-K330,DLS19_Dec_Run037,DLS19_Dec,V10.0,2019-12-13,18650,3.3,3.6,11.879999999999999,Heater (ISC),165.03871
KULR 18650-K330,DLS19_Dec_Run038,DLS19_Dec,V10.0,2019-12-13,18650,3.3,3.6,11.879999999999999,Heater (ISC),219.34555
KULR 18650-K330,DLS19_Dec_Run039,DLS19_Dec,V10.0,2019-12-13,18650,3.3,3.6,11.879999999999999,Heater (ISC),139.851815
KULR 18650-K330,DLS19_Dec_Run041,DLS19_Dec,V10.0,2019-12-13,18650,3.3,3.6,11.879999999999999,Heater (ISC),239.83976
KULR 18650-K330,DLS19_Dec_Run085,DLS19_Dec,V10.0,2019-12-14,18650,3.3,3.6,11.879999999999999,Heater (ISC),231.285635
KULR 18650-K330,DLS19_Dec_Run086,DLS19_Dec,V10.0,2019-12-14,18650,3.3,3.6,11.879999999999999,Heater (ISC),223.21516
KULR 18650-K330,DLS19_Dec_Run087,DLS19_Dec,V10.0,2019-12-14,18650,3.3,3.6,11.879999999999999,Heater (ISC),240.42719
KULR 18650-K330,DLS19_Dec_Run088,DLS19_Dec,V10.0,2019-12-14,18650,3.3,3.6,11.879999999999999,Heater (ISC),245.009025
KULR 18650-K330,ESRF18_Oct_Run001,ESRF18_Oct,V9.0,2018-10-26,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),296.68422
KULR 18650-K330,ESRF18_Oct_Run002,ESRF18_Oct,V9.0,2018-10-26,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),247.77281
KULR 18650-K330,ESRF18_Oct_Run003,ESRF18_Oct,V9.0,2018-10-26,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),252.18554
KULR 18650-K330,ESRF18_Oct_Run004,ESRF18_Oct,V9.0,2018-10-26,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),245.20037
KULR 18650-K330,ESRF18_Oct_Run055,ESRF18_Oct,V9.0,2018-10-29,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),226.20204
KULR 18650-K330,DLS19_Feb_Run098,DLS19_Feb,V9.1,2019-02-16,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),225.77041000000003
KULR 18650-K330,DLS19_Dec_Run031,DLS19_Dec,V10.0,2019-12-12,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),235.511085
KULR 18650-K330,DLS19_Dec_Run032,DLS19_Dec,V10.0,2019-12-14,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),234.092405
KULR 18650-K330,DLS19_Dec_Run033,DLS19_Dec,V10.0,2019-12-14,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),230.27685
KULR 18650-K330,DLS19_Dec_Run034,DLS19_Dec,V10.0,2019-12-14,18650,3.3,3.6,11.879999999999999,Heater (Non-ISC),248.68833
KULR 18650-K330,ESRF18_Oct_Run057,ESRF18_Oct,V9.0,2018-10-29,18650,3.3,3.6,11.879999999999999,Nail,
KULR 18650-K330,DLS19_Feb_Run051,DLS19_Feb,V9.1,2019-02-15,18650,3.3,3.6,11.879999999999999,Nail,
KULR 18650-K330,DLS19_Feb_Run053,DLS19_Feb,V9.1,2019-02-15,18650,3.3,3.6,11.879999999999999,Nail,
KULR 21700-K500,DLS19_Dec_Run010,DLS19_Dec,V10.0,2019-12-12,21700,5.0,3.6,18.0,Heater (ISC),198.81297
KULR 21700-K500,DLS19_Dec_Run012,DLS19_Dec,V10.0,2019-12-12,21700,5.0,3.6,18.0,Heater (ISC),231.61023
KULR 21700-K500,DLS19_Dec_Run014,DLS19_Dec,V10.0,2019-12-12,21700,5.0,3.6,18.0,Heater (ISC),138.29991
KULR 21700-K500,DLS19_Dec_Run016,DLS19_Dec,V10.0,2019-12-12,21700,5.0,3.6,18.0,Heater (ISC),219.826517777778
KULR 21700-K500,DLS19_Dec_Run018,DLS19_Dec,V10.0,2019-12-12,21700,5.0,3.6,18.0,Heater (ISC),150.098285
